laptop_ID,Company,TypeName,Inches,Cpu,Ram,Memory,OpSys,Weight,Price_euros
224,Dell,2 in 1 Convertible,13.3,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Windows 10,1.62kg,1279.0
225,Dell,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Linux,2.2kg,677.35
226,Lenovo,2 in 1 Convertible,14.0,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.74kg,899.0
227,Toshiba,Ultrabook,13.3,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Windows 10,1.2kg,1363.0
228,HP,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Windows 10,2.1kg,794.0
229,Dell,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,4.42kg,2456.34
230,Acer,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,2.2kg,832.0
231,Dell,Notebook,15.6,Intel Core i7 7500U 2.7GHz,16GB,1TB HDD,Windows 10,2.3kg,859.01
232,Asus,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,2kg,769.0
233,Asus,Notebook,17.3,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD +  500GB HDD,Windows 10,2.69kg,891.0
234,HP,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Windows 10,1.9kg,1269.0
235,Asus,Notebook,15.6,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Windows 10,2.37kg,398.99
236,HP,Notebook,15.6,AMD E-Series 9000e 1.5GHz,4GB,500GB HDD,Windows 10,2.1kg,330.0
237,Lenovo,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,3.2kg,1499.0
238,Dell,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.6kg,859.0
239,Acer,2 in 1 Convertible,13.3,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Windows 10,1.6kg,689.0
240,Dell,Notebook,15.6,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,Linux,2.36kg,899.0
241,Acer,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Linux,2.1kg,390.0
242,Asus,Notebook,15.6,AMD A10-Series A10-9620P 2.5GHz,4GB,128GB SSD +  1TB HDD,Windows 10,2.2kg,575.0
243,Asus,Gaming,17.3,Intel Core i7 7820HK 2.9GHz,32GB,512GB SSD +  1TB HDD,Windows 10,4.7kg,3890.0
244,Acer,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Windows 10,2.5kg,846.0
245,Lenovo,Notebook,15.6,Intel Core i3 6006U 2GHz,8GB,128GB SSD,Windows 10,2.2kg,589.0
246,Asus,Notebook,17.3,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.1kg,1145.0
247,Asus,Notebook,17.3,Intel Core i7 7500U 2.7GHz,8GB,128GB SSD +  1TB HDD,No OS,2.69kg,889.0
248,Dell,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Windows 10,2.56kg,879.0
249,Lenovo,2 in 1 Convertible,13.9,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.38kg,1079.0
250,Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,Windows 10,2.2kg,985.0
251,HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Windows 10,2.04kg,559.0
252,Asus,Gaming,17.3,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD,Windows 10,3.6kg,2999.0
253,HP,Notebook,13.3,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Windows 10,1.49kg,675.0
254,Apple,Ultrabook,13.3,Intel Core i5 3.1GHz,8GB,512GB SSD,macOS,1.37kg,2040.0
255,Dell,2 in 1 Convertible,15.6,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Windows 10,2.08kg,819.0
256,Asus,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,4.3kg,1799.0
257,Asus,Notebook,15.6,AMD A9-Series 9420 3GHz,4GB,1TB HDD,Windows 10,1.68kg,469.0
258,Lenovo,2 in 1 Convertible,13.9,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Windows 10,1.37kg,1849.0
259,Acer,Notebook,17.3,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Windows 10,3kg,702.0
260,Dell,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.41kg,949.0
261,HP,Notebook,15.6,AMD A6-Series A6-9220 2.5GHz,8GB,128GB SSD,Windows 10,1.91kg,445.9
262,HP,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16GB,1TB HDD,Windows 10,2.9kg,1059.0
263,MSI,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Windows 10,4.14kg,2499.0
264,Lenovo,2 in 1 Convertible,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Windows 10,2kg,1699.0
265,Dell,Notebook,17.3,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.8kg,1142.0
266,Lenovo,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,256GB SSD,No OS,2.2kg,444.0
267,HP,Notebook,15.6,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Windows 10,2.1kg,722.0
268,Dell,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Windows 10,2.18kg,657.0
269,Dell,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Windows 10,2.24kg,565.0
270,Dell,2 in 1 Convertible,15.6,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,2.67kg,799.0
271,Asus,2 in 1 Convertible,13.3,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD +  512GB SSD,Windows 10,1.1kg,1499.0
272,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,No OS,2.2kg,467.0
273,HP,Notebook,17.3,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Windows 10,2.5kg,1018.0
274,Lenovo,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,2.05kg,880.0
275,Apple,Ultrabook,13.3,Intel Core i5 2.9GHz,8GB,512GB SSD,macOS,1.37kg,1958.9
276,Asus,Gaming,17.3,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,Windows 10,3.2kg,1549.0
277,Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Linux,2.14kg,735.07
278,Lenovo,2 in 1 Convertible,14.0,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,Windows 10,1.36kg,2499.0
279,Toshiba,Notebook,15.6,Intel Core i7 6500U 2.5GHz,8GB,500GB HDD,Windows 10,2.2kg,812.0
280,Dell,Notebook,15.6,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Windows 10,2.3kg,713.07
281,Dell,Notebook,17.3,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Linux,2.8kg,1099.0
282,Acer,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Windows 10,2.2kg,745.0
283,Lenovo,Notebook,17.3,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows 10,2.8kg,489.0
284,Lenovo,Notebook,17.3,Intel Core i7 8550U 1.8GHz,8GB,2TB HDD,No OS,2.8kg,849.0
285,Lenovo,Notebook,17.3,Intel Core i7 7500U 2.7GHz,6GB,128GB SSD +  1TB HDD,Windows 10,2.8kg,859.0
286,Dell,Notebook,15.6,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Linux,2.25kg,428.0
287,Lenovo,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Windows 10,2.5kg,829.0
288,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Windows 10,2.2kg,579.0
289,Acer,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,3kg,951.0
290,Acer,Notebook,15.6,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Windows 10,2.15kg,659.0
291,Lenovo,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.95kg,1097.0
292,Asus,Ultrabook,15.6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.7kg,977.0
293,Lenovo,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.5kg,1179.0
294,Lenovo,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,No OS,2.2kg,659.01
295,Acer,Notebook,15.6,Intel Celeron Dual Core 3205U 1.5GHz,2GB,16GB SSD,Chrome OS,2.19kg,199.0
296,Asus,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Windows 10,3kg,1187.0
297,HP,Notebook,17.3,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Windows 10,2.54kg,489.0
298,Dell,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Windows 10,2kg,1829.0
299,Lenovo,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,2.05kg,739.0
300,Lenovo,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Windows 10,3.2kg,1299.0
301,Acer,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Linux,2.5kg,979.0
302,Dell,Workstation,17.3,Intel Core i7 7820HQ 2.9GHz,16GB,256GB SSD,Windows 10,3.42kg,2884.86
303,Lenovo,Notebook,15.6,AMD A10-Series 9600P 2.4GHz,6GB,1TB HDD,Windows 10,2.4kg,499.0
304,Asus,Ultrabook,15.6,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Windows 10,1.63kg,1468.0
305,Asus,Notebook,14.0,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Windows 10,1.3kg,509.0
306,Asus,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.9kg,2122.0
307,Lenovo,Notebook,17.3,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Windows 10,2.8kg,649.0
308,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,No OS,2.2kg,549.0
309,Asus,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.5kg,1265.0
310,Lenovo,Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,No OS,2.2kg,359.99
311,HP,2 in 1 Convertible,13.3,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Windows 10,1.28kg,1975.0
312,Toshiba,Notebook,15.6,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Windows 10,2.2kg,1043.0
313,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.3kg,819.0
314,HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows 10,1.86kg,469.0
315,Lenovo,Notebook,13.3,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.1kg,999.0
316,Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Windows 10,1.21kg,2499.0
317,MSI,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.8kg,2099.0
318,Acer,Notebook,15.6,AMD A8-Series 7410 2.2GHz,8GB,256GB SSD,Windows 10,2.23kg,469.0
319,Asus,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Windows 10,1.1kg,275.0
320,Dell,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.33kg,844.0
321,HP,2 in 1 Convertible,13.3,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Windows 10,1.29kg,2449.0
322,Lenovo,Notebook,13.3,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16GB Flash Storage,Chrome OS,1.45kg,459.9
323,HP,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.95kg,980.0
324,Acer,Notebook,11.6,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Windows 10,1.4kg,485.0
325,HP,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.48kg,1292.0
326,Lenovo,Notebook,17.3,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Windows 10,2.79kg,589.0
327,Asus,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,2kg,1094.0
329,HP,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Windows 10,2.1kg,902.0
330,Acer,Notebook,15.6,AMD A12-Series 9720P 2.7GHz,8GB,256GB SSD,Windows 10,2.2kg,659.0
331,Lenovo,Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Windows 10,1.44kg,292.0
332,Acer,Notebook,15.6,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Windows 10,2.23kg,549.0
333,Asus,Ultrabook,15.6,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.7kg,1049.9
334,HP,Ultrabook,12.5,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.26kg,1335.0
335,Dell,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD,Windows 10,2.06kg,2639.0
336,MSI,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Windows 10,2.7kg,1199.0
337,Toshiba,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,2.0kg,943.0
338,Asus,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Windows 10,2kg,1334.0
339,Lenovo,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows 10,1.85kg,449.0
340,Asus,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Windows 10,2.5kg,999.0
341,HP,Notebook,14.0,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Windows 10,1.48kg,1268.0
342,Dell,Ultrabook,15.6,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Windows 10,1.9kg,1049.0
343,HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.84kg,1144.0
344,Asus,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Linux,2kg,274.99
345,Dell,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,2kg,1142.75
346,Dell,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Linux,2.2kg,274.9
347,Lenovo,Notebook,15.6,AMD A12-Series 9720P 3.6GHz,12GB,2TB HDD,Windows 10,2.2kg,899.0
348,HP,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Windows 10,2.1kg,716.0
349,Lenovo,2 in 1 Convertible,13.9,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Windows 10,1.4kg,2099.0
350,Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.2kg,1579.0
351,Lenovo,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Windows 10,2.4kg,1129.0
352,HP,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Windows 10,1.44kg,279.0
353,Dell,Ultrabook,15.6,Intel Core i7 8650U 1.9GHz,16GB,512GB SSD +  256GB SSD,Windows 10,1.88kg,1607.96
354,Asus,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Windows 10,1.5kg,375.0
355,Dell,Ultrabook,15.6,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Windows 10,1.9kg,663.0
356,Dell,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Windows 10,2.06kg,2027.42
357,HP,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.84kg,1304.0
358,MSI,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.7kg,1409.0
359,HP,Workstation,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Windows 10,2.6kg,1738.27
360,Toshiba,Notebook,15.6,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Windows 10,2.4kg,1403.0
361,Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,Windows 10,2.02kg,970.9
362,Lenovo,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,No OS,2.2kg,321.99
363,Dell,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Windows 10,2.65kg,999.0
364,Dell,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Windows 10,2.36kg,557.37
365,Dell,Notebook,14.0,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Windows 10,1.36kg,1427.0
366,HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Windows 10,1.86kg,439.0
367,Asus,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,2kg,945.0
368,Lenovo,Notebook,17.3,Intel Core i5 7200U 2.5GHz,6GB,128GB SSD +  1TB HDD,Windows 10,2.8kg,719.0
369,HP,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Windows 10,1.86kg,639.0
370,Lenovo,Notebook,15.6,Intel Core i3 6006U 2GHz,8GB,256GB SSD,No OS,2.2kg,499.0
371,HP,Notebook,15.6,Intel Pentium Quad Core N3710 1.6GHz,8GB,2TB HDD,Windows 10,2.04kg,389.0
372,Dell,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.8kg,1085.0
373,Lenovo,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,No OS,2.4kg,809.0
374,Dell,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,2.33kg,899.0
375,HP,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.36kg,1750.0
376,Asus,2 in 1 Convertible,15.6,Intel Core i7 7500U 2.7GHz,12GB,512GB SSD +  2TB HDD,Windows 10,2.26kg,1099.0
377,Acer,Notebook,15.6,AMD A9-Series 9420 3GHz,4GB,128GB SSD,Windows 10,2.1kg,426.0
378,Asus,Gaming,17.3,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,Windows 10,3.25kg,2199.0
379,Lenovo,Notebook,17.3,AMD A8-Series 7410 2.2GHz,4GB,128GB SSD,Windows 10,2.6kg,489.0
380,Dell,2 in 1 Convertible,13.3,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.62kg,869.01
381,HP,Notebook,15.6,AMD A9-Series 9420 3GHz,4GB,256GB SSD,Windows 10,1.91kg,488.99
382,Lenovo,Netbook,11.6,Intel Celeron Quad Core N3450 1.1GHz,4GB,128GB SSD,Windows 10,1.59kg,553.0
383,Dell,Notebook,15.6,Intel Celeron Dual Core N3060 1.60GHz,4GB,500GB HDD,Windows 10,1.8kg,309.0
384,Asus,Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Windows 10,1.5kg,286.0
385,Acer,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Linux,2.4kg,846.0
386,HP,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Windows 10,3.35kg,1191.0
387,Lenovo,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,128GB SSD,No OS,1.85kg,403.5
388,Asus,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.3kg,1655.0
389,Lenovo,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.5kg,1099.0
390,Asus,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Windows 10,1.1kg,1748.9
391,Lenovo,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Windows 10,1.13kg,2282.0
392,Lenovo,Notebook,13.3,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Windows 10,1.5kg,549.0
393,Dell,Workstation,15.6,Intel Core i5 6440HQ 2.6GHz,8GB,500GB HDD,Windows 10,2.23kg,1369.0
394,Dell,Workstation,15.6,Intel Core i7 6820HQ 2.7GHz,8GB,256GB SSD,Windows 10,2kg,2135.0
395,Lenovo,2 in 1 Convertible,14.0,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Windows 10,1.42kg,2509.0
396,Asus,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Windows 10,3kg,1039.0
397,Asus,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,3kg,1591.0
399,Acer,Notebook,15.6,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Windows 10,2.2kg,693.99
400,MSI,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Windows 10,2.7kg,1349.0
401,Dell,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Linux,2.33kg,778.87
402,HP,Ultrabook,15.6,AMD A9-Series 9420 3GHz,4GB,256GB SSD,Windows 10,1.91kg,499.0
403,Lenovo,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,2.1kg,1229.56
404,Lenovo,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.9kg,938.0
405,Dell,Workstation,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Windows 10,1.78kg,2712.0
406,Lenovo,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,Windows 10,1.13kg,2625.0
407,Lenovo,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Windows 10,2.2kg,306.0
408,Asus,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.9kg,1529.0
409,Lenovo,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD +  1TB HDD,Windows 10,2.1kg,1144.5
410,Acer,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Linux,2.5kg,879.0
411,MSI,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.8kg,2249.0
412,Asus,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Windows 10,1.10kg,1873.0
413,Toshiba,Ultrabook,13.3,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Windows 10,1.2kg,1747.0
414,Dell,Ultrabook,14.0,Intel Core i7 7600U 2.8GHz,8GB,512GB SSD,Windows 10,1.36kg,1680.0
415,Lenovo,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Windows 10,2.2kg,409.0
416,Lenovo,Notebook,11.6,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Windows 10,1.15kg,304.45
417,Lenovo,Workstation,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Windows 10,2.67kg,1925.0
418,Lenovo,Ultrabook,14.0,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Windows 10,1.7kg,1943.0
419,HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows 10,2.1kg,469.0
420,Acer,2 in 1 Convertible,13.3,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Windows 10,1.6kg,789.01
421,Asus,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.27kg,928.0
422,Dell,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Linux,2.3kg,598.9
423,Dell,Notebook,13.3,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Windows 10,1.65kg,689.0
424,HP,Ultrabook,14.0,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Windows 10,1.43kg,1500.0
425,Dell,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Windows 10,2.14kg,539.95
426,Lenovo,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.75kg,1215.38
427,Lenovo,2 in 1 Convertible,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Windows 10,2kg,1899.0
428,Chuwi,Notebook,12.3,Intel Celeron Quad Core N3450 1.1GHz,6GB,64GB Flash Storage,Windows 10,1.4kg,449.0
429,HP,Notebook,15.6,Intel Core i7 7820HQ 2.9GHz,8GB,256GB SSD,Windows 10,2.31kg,1427.0
430,Asus,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Linux,2.3kg,597.0
431,Dell,Gaming,17.3,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD +  1TB HDD,Windows 10,4.42kg,2799.0
432,Dell,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.62kg,1159.0
433,Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  2TB HDD,Windows 10,2.02kg,1142.4
434,Dell,Ultrabook,14.0,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Linux,1.6kg,1099.0
435,HP,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,12GB,256GB SSD +  1TB HDD,Windows 10,3.35kg,1999.0
436,Mediacom,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB SSD,Windows 10,1.16kg,299.0
437,Samsung,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,Chrome OS,1.15kg,269.0
438,Lenovo,Notebook,13.3,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.4kg,1010.0
439,Lenovo,Notebook,14.0,Intel Core i3 7130U 2.7GHz,4GB,128GB SSD,Windows 10,1.7kg,599.0
440,Lenovo,Workstation,15.6,Intel Core i7 7600U 2.8GHz,16GB,512GB SSD,Windows 10,2.3kg,2445.0
